inv_id,product_name,category,restock_date,expiry_date,days_to_expiry,shelf_life_days,qty_in,qty_sold,qty_damaged,qty_adjusted,qty_remaining,unit_price_ngn,total_revenue_ngn,store_city,storage_temp,demand_forecast,seasonality,holiday_promo,weather_condition,restock_count,weekly_sales_rate,sell_through_rate,wastage_rate,shelf_utilisation,purchase_frequency,total_units_sold_all,expiry_risk,sales_velocity,customer_preference,slow_mover,kaggle_store_id,kaggle_product_id,kaggle_region,data_source
INV057083,Semolina 1kg,Grains & Cereals,2023-07-25,2023-11-22,0.0,120,130,27,0.0,-1.0,102,997,26919,Benin City,Ambient,55.15,Autumn,1,Snowy,13,1.575,0.2077,0.0,1.0,0.0,0.0,Expired,Slow,Low,No,S005,P0003,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV015324,Golden Penny Spaghetti 500g,Pasta & Noodles,2022-06-03,2022-11-30,0.0,180,130,121,1.0,0.0,8,627,75867,Warri,Ambient,425.81,Winter,0,Cloudy,16,4.7056,0.9308,0.0077,1.0,555.0,2860.0,Medium,Slow,High,No,S002,P0004,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV037522,Plantain Chips 250g,Snacks & Confectionery,2023-01-11,2023-02-25,0.0,45,130,65,2.0,0.0,63,846,54990,Owerri,Ambient,135.66,Autumn,1,Sunny,14,10.1111,0.5,0.0154,1.0,0.0,0.0,Low,Fast,Low,Yes,S002,P0002,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV044151,Nivea Body Lotion 400ml,Personal Care,2023-03-18,2025-03-17,0.0,730,130,92,1.0,0.0,37,4273,393116,Kano,Ambient,133.84,Winter,1,Rainy,18,0.8822,0.7077,0.0077,1.0,0.0,0.0,Medium,Slow,Low,No,S003,P0011,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV048815,Beans Brown 5kg,Grains & Cereals,2023-05-04,2024-05-03,0.0,365,130,103,0.0,0.0,27,9313,959239,Port Harcourt,Ambient,275.23,Autumn,1,Snowy,20,1.9753,0.7923,0.0,1.0,548.0,2963.0,Medium,Moderate,High,No,S001,P0015,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV058856,Bournvita 400g,Beverages,2023-08-12,2023-11-10,0.0,90,130,67,0.0,1.0,64,3223,215941,Uyo,Cool,89.23,Spring,1,Rainy,13,5.2111,0.5154,0.0,1.0,0.0,0.0,Low,Moderate,High,No,S003,P0016,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV068719,Always Pads 14pk,Personal Care,2023-11-19,2024-11-18,0.0,365,130,90,5.0,0.0,35,1592,143280,Lagos,Ambient,181.77,Winter,0,Sunny,7,1.726,0.6923,0.0385,1.0,0.0,0.0,Medium,Moderate,Medium,No,S001,P0019,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV034413,Washing Up Liquid 750ml,Household Essentials,2022-12-11,2023-12-11,0.0,365,130,95,2.0,0.0,33,1958,186010,Aba,Ambient,341.31,Winter,1,Rainy,5,1.8219,0.7308,0.0154,1.0,0.0,0.0,Medium,Moderate,High,No,S001,P0013,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV053986,TUC Crackers 100g,Snacks & Confectionery,2023-06-24,2023-09-22,0.0,90,130,26,0.0,1.0,105,579,15054,Enugu,Ambient,39.1,Winter,0,Sunny,1,2.0222,0.2,0.0,1.0,0.0,0.0,Expired,Slow,Low,No,S005,P0006,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV062887,Crayfish Ground 200g,Condiments & Seasonings,2023-09-21,2023-12-20,0.0,90,130,46,3.0,-1.0,80,1667,76682,Kaduna,Ambient,139.51,Winter,0,Cloudy,13,3.5778,0.3538,0.0231,1.0,0.0,0.0,Expired,Moderate,Medium,No,S005,P0007,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV002942,Washing Up Liquid 750ml,Household Essentials,2022-01-30,2023-01-30,0.0,365,102,99,1.0,-1.0,1,2299,227601,Warri,Ambient,89.84,Autumn,1,Rainy,5,1.8986,0.9706,0.0098,1.0,0.0,0.0,Low,Moderate,Medium,No,S003,P0002,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV048344,SMA Gold 400g,Baby & Infant,2023-04-29,2024-04-28,0.0,365,130,64,1.0,-2.0,63,16534,1058176,Abuja,Ambient,82.99,Winter,1,Rainy,14,1.2274,0.4923,0.0077,1.0,0.0,0.0,High,Moderate,Medium,No,S003,P0004,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV020960,Indomie Chicken 70g,Pasta & Noodles,2022-07-29,2022-09-27,0.0,60,130,55,0.0,0.0,75,201,11055,Lagos,Ambient,86.02,Summer,0,Cloudy,1,6.4167,0.4231,0.0,1.0,0.0,0.0,Expired,Moderate,Medium,No,S003,P0020,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV048577,Coca-Cola Crate 24,Beverages,2023-05-01,2023-05-15,0.0,14,130,87,0.0,1.0,44,12503,1087761,Benin City,Cool,157.61,Summer,0,Snowy,5,43.5,0.6692,0.0,1.0,526.0,2780.0,High,Moderate,Low,No,S004,P0017,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV054198,Indomie Noodles 70g,Snacks & Confectionery,2023-06-26,2023-08-25,0.0,60,130,120,1.0,0.0,9,159,19080,Ilorin,Ambient,242.98,Spring,0,Cloudy,20,14.0,0.9231,0.0077,1.0,533.0,2895.0,Expired,Fast,High,No,S005,P0018,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV044413,Morning Fresh 500ml,Personal Care,2023-03-21,2024-03-20,0.0,365,130,6,0.0,0.0,123,3317,19902,Jos,Ambient,15.55,Summer,1,Sunny,6,0.1151,0.0462,0.0,1.0,0.0,0.0,High,Slow,Low,Yes,S001,P0013,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV066648,Candles 10pk,Household Essentials,2023-10-29,2024-10-28,0.0,365,130,51,0.0,0.0,79,708,36108,Jos,Ambient,109.12,Winter,0,Cloudy,24,0.9781,0.3923,0.0,1.0,0.0,0.0,High,Moderate,Low,No,S003,P0008,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV030468,Sunflower Oil 3L,Cooking Oils & Fats,2022-11-01,2023-11-01,0.0,365,130,22,0.0,0.0,108,8455,186010,Owerri,Ambient,92.97,Winter,1,Rainy,21,0.4219,0.1692,0.0,1.0,0.0,0.0,High,Slow,Low,Yes,S004,P0008,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV022457,Teething Gel 15g,Baby & Infant,2022-08-13,2023-08-13,0.0,365,130,48,0.0,-2.0,80,2881,138288,Lagos,Ambient,130.13,Summer,1,Snowy,20,0.9205,0.3692,0.0,1.0,0.0,0.0,High,Slow,Medium,No,S003,P0017,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV028048,Bleach 1L,Household Essentials,2022-10-08,2023-10-08,0.0,365,51,1,0.0,0.0,50,1271,1271,Aba,Ambient,5.37,Summer,1,Rainy,20,0.0192,0.0196,0.0,1.0,570.0,3130.0,High,Slow,High,Yes,S003,P0008,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV022409,Vermicelli 200g,Pasta & Noodles,2022-08-13,2023-02-09,0.0,180,130,18,0.0,1.0,113,461,8298,Warri,Ambient,25.16,Summer,1,Rainy,11,0.7,0.1385,0.0,1.0,0.0,0.0,Expired,Slow,Low,Yes,S001,P0009,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV050459,Gino Tomatoes 400g,Canned & Packaged Foods,2023-05-20,2025-05-19,3.0,730,130,122,1.0,0.0,8,1022,124684,Aba,Ambient,299.24,Summer,1,Sunny,4,1.1699,0.9385,0.0077,0.9959,552.0,2963.0,High,Moderate,High,No,S003,P0019,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV002300,Groundnuts Roasted 500g,Snacks & Confectionery,2022-01-23,2022-04-23,0.0,90,104,92,0.0,-1.0,11,710,65320,Warri,Ambient,96.78,Winter,0,Rainy,24,7.1556,0.8846,0.0,1.0,0.0,0.0,Expired,Fast,Medium,No,S005,P0020,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV049135,Palm Oil 2L,Cooking Oils & Fats,2023-05-07,2023-11-03,0.0,180,130,29,0.0,2.0,103,3284,95236,Uyo,Ambient,91.4,Winter,0,Sunny,9,1.1278,0.2231,0.0,1.0,593.0,3376.0,Expired,Slow,High,No,S002,P0015,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV067342,Indomie Noodles 70g,Snacks & Confectionery,2023-11-05,2024-01-04,0.0,60,130,39,1.0,-1.0,89,164,6396,Abuja,Ambient,81.88,Autumn,1,Sunny,20,4.55,0.3,0.0077,1.0,533.0,2895.0,Expired,Moderate,Low,No,S003,P0002,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV047227,Indomie Noodles 70g,Snacks & Confectionery,2023-04-18,2023-06-17,0.0,60,85,76,1.0,0.0,8,202,15352,Owerri,Ambient,94.0,Summer,1,Snowy,3,8.8667,0.8941,0.0118,1.0,533.0,2895.0,Expired,Fast,Medium,No,S002,P0007,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV065853,Ariel Detergent 1kg,Personal Care,2023-10-21,2024-10-20,0.0,365,130,73,2.0,-1.0,54,2179,159067,Warri,Ambient,240.6,Winter,1,Cloudy,24,1.4,0.5615,0.0154,1.0,0.0,0.0,Medium,Moderate,Medium,No,S003,P0013,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV006876,Tissue Paper 12 rolls,Household Essentials,2022-03-10,2023-03-10,0.0,365,130,61,0.0,0.0,69,3736,227896,Ilorin,Ambient,183.74,Spring,1,Rainy,16,1.1699,0.4692,0.0,1.0,539.0,2783.0,High,Moderate,High,No,S004,P0016,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV006737,Cerelac Wheat 400g,Baby & Infant,2022-03-09,2022-09-05,0.0,180,130,81,0.0,0.0,49,5998,485838,Jos,Ambient,136.79,Summer,1,Cloudy,16,3.15,0.6231,0.0,1.0,555.0,2921.0,Expired,Fast,High,No,S002,P0017,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV066889,Egg Noodles 400g,Pasta & Noodles,2023-10-31,2024-02-28,0.0,120,130,60,1.0,0.0,69,1418,85080,Warri,Ambient,99.03,Summer,1,Sunny,1,3.5,0.4615,0.0077,1.0,0.0,0.0,Expired,Moderate,Medium,No,S005,P0009,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV038110,Onions 1kg,Fresh & Perishable,2023-01-17,2023-01-31,0.0,14,130,74,1.0,0.0,55,916,67784,Enugu,Refrigerated,269.02,Winter,1,Cloudy,8,37.0,0.5692,0.0077,1.0,556.0,3095.0,Expired,Moderate,High,No,S001,P0010,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV000128,Bournvita 400g,Beverages,2022-01-02,2022-04-02,0.0,90,130,22,1.0,0.0,107,3029,66638,Benin City,Cool,46.32,Spring,1,Sunny,13,1.7111,0.1692,0.0077,1.0,0.0,0.0,Expired,Slow,Low,No,S002,P0008,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV020590,Vermicelli 200g,Pasta & Noodles,2022-07-25,2023-01-21,0.0,180,130,18,0.0,-1.0,111,519,9342,Aba,Ambient,53.62,Autumn,1,Rainy,17,0.7,0.1385,0.0,1.0,0.0,0.0,Expired,Slow,Low,Yes,S005,P0010,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV051917,Candles 10pk,Household Essentials,2023-06-04,2024-06-03,0.0,365,130,43,5.0,0.0,82,919,39517,Owerri,Ambient,78.25,Autumn,1,Sunny,20,0.8247,0.3308,0.0385,1.0,0.0,0.0,High,Slow,Medium,No,S001,P0017,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV010425,Vegetable Oil 3L,Cooking Oils & Fats,2022-04-15,2023-04-15,0.0,365,130,63,0.0,-2.0,65,6852,431676,Onitsha,Ambient,155.35,Summer,1,Rainy,1,1.2082,0.4846,0.0,1.0,0.0,0.0,High,Moderate,Medium,No,S002,P0005,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV073016,Egg Noodles 400g,Pasta & Noodles,2024-01-01,2024-04-30,0.0,120,74,13,2.0,1.0,60,1456,18928,Benin City,Ambient,27.53,Summer,1,Cloudy,22,0.7583,0.1757,0.027,1.0,0.0,0.0,Expired,Slow,Low,Yes,S001,P0016,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV027404,Onions 1kg,Fresh & Perishable,2022-10-02,2022-10-16,0.0,14,130,24,0.0,0.0,106,642,15408,Kano,Refrigerated,85.18,Spring,0,Rainy,17,12.0,0.1846,0.0,1.0,556.0,3095.0,Expired,Slow,High,No,S001,P0004,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV050977,Pampers Small 36pk,Baby & Infant,2023-05-25,2024-05-24,0.0,365,97,67,0.0,-1.0,29,16479,1104093,Onitsha,Ambient,61.8,Spring,1,Sunny,5,1.2849,0.6907,0.0,1.0,581.0,3167.0,Medium,Moderate,High,No,S004,P0017,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV022601,Sunflower Oil 3L,Cooking Oils & Fats,2022-08-15,2023-08-15,0.0,365,130,108,1.0,0.0,21,8201,885708,Uyo,Ambient,150.99,Spring,0,Sunny,6,2.0712,0.8308,0.0077,1.0,0.0,0.0,Low,Moderate,High,No,S001,P0001,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV012039,Nivea Body Lotion 400ml,Personal Care,2022-05-01,2024-04-30,0.0,730,130,12,0.0,0.0,118,4492,53904,Uyo,Ambient,45.05,Summer,0,Cloudy,22,0.1151,0.0923,0.0,1.0,0.0,0.0,High,Slow,Low,Yes,S002,P0019,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV018276,Dangote Spaghetti 500g,Pasta & Noodles,2022-07-02,2022-12-29,0.0,180,130,55,0.0,1.0,76,629,34595,Onitsha,Ambient,168.04,Summer,1,Rainy,1,2.1389,0.4231,0.0,1.0,0.0,0.0,Expired,Moderate,Medium,No,S004,P0016,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV023840,Titus Sardines 125g,Canned & Packaged Foods,2022-08-27,2024-08-26,0.0,730,130,62,0.0,0.0,68,1441,89342,Enugu,Ambient,232.12,Autumn,1,Sunny,9,0.5945,0.4769,0.0,1.0,0.0,0.0,High,Slow,Medium,No,S002,P0020,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
